gene,log2FoldChange,padj
LRRC40,-0.23,0.2882
DCTPP1,0.14,0.3121
IKBKG,0.41,0.1312
LRRC47,0.18,0.2564
TMEM173,0.43,0.0000
EIF3H,0.02,0.9005
DNTTIP1,0.65,0.0003
EIF3J,-0.44,0.0085
EIF3K,0.19,0.1111
UBLCP1,-0.17,0.3259
TSFM,0.27,0.0525
DHRS7,-0.13,0.2764
EIF3B,0.03,0.8697
FNBP4,0.23,0.1301
EIF3G,0.22,0.0503
RARS,0.00,0.9925
MIPEP,0.33,0.1535
MKKS,-0.15,0.3305
NOL11,-0.49,0.0079
NOL10,0.05,0.8294
CDKN2C,-0.01,0.9765
TSC22D1,0.30,0.1081
DAAM1,-0.12,0.5631
PCYT2,0.06,0.7756
TSC22D4,-0.25,0.1816
IMPA1,-0.51,0.0036
PHGDH,-0.08,0.6434
VAT1,0.01,0.9548
MTCH1,0.18,0.2285
PTGES2,0.41,0.0472
SLC2A5,0.13,0.4921
ECHS1,0.22,0.0551
CD2BP2,0.13,0.3225
NFATC2,0.22,0.2949
RPL37A,0.10,0.5297
ME2,0.13,0.4759
KATNA1,-0.24,0.2067
EXOSC9,0.09,0.6724
EXOSC2,0.40,0.0137
CCAR1,-0.18,0.1264
EXOSC1,-0.05,0.7175
AP2B1,0.24,0.0950
EXOSC5,-0.14,0.4794
SAP30,0.17,0.5248
QRICH1,-0.33,0.0500
COPB1,-0.35,0.0077
RALY,0.09,0.4015
SRRT,-0.01,0.9459
SARDH,0.06,0.8264
VPS53,-0.06,0.7542
VPS51,0.40,0.0021
ALKBH5,0.11,0.4993
RALB,-0.09,0.6639
CDKAL1,-0.01,0.9221
NAT10,0.14,0.3029
TMEM126A,-0.15,0.3105
ATM,-0.54,0.0117
SCYL2,-0.34,0.0605
SCYL1,0.13,0.3153
RCOR3,-0.50,0.0086
SMPD4,0.20,0.1224
STXBP3,-0.31,0.1078
HAAO,-0.19,0.3193
INF2,0.38,0.0336
SET,-0.34,0.0034
DNAJB2,-0.05,0.8534
ATP5A1,-0.05,0.6673
H1FX,0.09,0.6550
VKORC1,0.30,0.0849
DNAJB6,0.07,0.6430
TTC27,-0.03,0.8247
PATL1,0.31,0.1610
H1F0,-0.02,0.9261
CARS,-0.03,0.8933
RCL1,-0.10,0.5921
MRPS18A,-0.03,0.8411
MRPS18B,-0.05,0.6944
CLC,0.09,0.6459
ENO2,0.37,0.1013
ELMOD2,-0.40,0.0774
TAOK3,-0.21,0.1923
CHAMP1,0.16,0.5168
LRRFIP2,-0.23,0.1718
SKIV2L2,-0.36,0.0466
TRAPPC6B,-0.18,0.3498
CDK5,-0.14,0.4665
CDK6,-0.07,0.5572
OGT,-0.20,0.2028
PTK7,0.04,0.7403
ARPC1B,0.11,0.3242
PHB2,0.15,0.1983
SF3B4,0.10,0.5132
MSH2,-0.11,0.5748
SEL1L,-0.32,0.0765
MSH6,0.03,0.8071
LIMS1,0.07,0.7308
INPPL1,-0.10,0.6509
SUN2,0.02,0.8853
ADCK3,0.43,0.0036
DNAJC17,-0.04,0.8340
NARFL,0.54,0.0071
DNAJC10,-0.44,0.0006
EPRS,-0.17,0.2159
NFXL1,-0.16,0.3161
COPA,-0.12,0.3024
COPE,0.05,0.6224
PRKCB,-0.55,0.0073
RER1,0.09,0.4364
KBTBD11,-0.16,0.5164
LMAN2,0.10,0.3442
HBA1,-0.45,0.0978
LMNA,0.98,0.0000
BDH1,-0.23,0.0636
SEC11A,-0.04,0.7368
DDX21,-0.39,0.0351
DDX28,0.23,0.1612
TYMS,0.05,0.7498
SAE1,-0.04,0.7344
BZW2,-0.14,0.4457
DDOST,0.03,0.8019
AHNAK,0.27,0.1509
FKBP11,0.03,0.7889
CDKN2AIP,-0.02,0.9216
RPN2,0.04,0.6883
PPIL1,-0.32,0.1088
TPI1,0.20,0.0492
PPIL4,-0.11,0.5565
CWC22,-0.14,0.3148
TMED10,-0.40,0.0050
OCIAD2,0.03,0.8217
PPP1R7,-0.14,0.2948
CCDC94,0.04,0.8332
TRUB1,-0.29,0.2304
PRPF31,0.30,0.0706
CARD9,0.32,0.0239
MAP3K5,-0.20,0.3385
ZNF574,-0.13,0.5416
NUP210,-0.02,0.9075
ATPAF2,-0.09,0.6284
TBXAS1,0.45,0.0102
CTSB,0.07,0.6077
CTSC,-0.14,0.3112
CTSD,-0.02,0.8953
SH3GLB1,-0.10,0.3568
SH3GLB2,0.32,0.1127
CTSG,0.13,0.4916
RPL15,0.08,0.5379
TMEM109,0.25,0.1541
RPL10,0.31,0.0246
SETD3,0.19,0.3373
EHHADH,-0.08,0.7557
RPL19,0.26,0.0478
CTSW,0.03,0.8654
PCYT1A,0.07,0.7354
GHITM,-0.26,0.0657
INPP5D,0.07,0.5943
SYK,-0.03,0.8485
LXN,-0.26,0.1910
CNST,0.28,0.0655
MATR3,-0.23,0.0559
PYCR2,0.16,0.2019
GLYR1,-0.15,0.3693
CDC16,0.08,0.6767
NT5C,0.32,0.0170
DCTD,-0.06,0.7095
VPS37B,0.33,0.1306
PDPR,-0.05,0.8492
GBP2,-0.13,0.5704
ALDH16A1,0.09,0.5931
ACSF2,0.25,0.1759
CLUH,0.34,0.0503
PDCL3,-0.15,0.4124
KIAA0196,-0.05,0.7259
UBA6,-0.50,0.0024
PDP1,0.01,0.9579
UBA5,-0.12,0.4681
UBA2,-0.42,0.0076
UBA3,-0.23,0.1450
UBA1,0.01,0.9639
PWP2,0.06,0.8026
DECR1,-0.05,0.6842
UBE2I,-0.16,0.1177
UBE2K,-0.18,0.3608
MRTO4,0.11,0.4075
UBE2M,0.12,0.6201
UBE2O,0.06,0.7535
UBA7,0.33,0.0068
MOGS,0.59,0.0013
DSCR3,0.02,0.9167
CTBS,-0.15,0.4282
MAP1S,0.38,0.0766
TOP3B,0.54,0.0007
DPF2,0.24,0.1339
ASNA1,0.10,0.4717
RPS12,0.28,0.0474
RPS15A,0.08,0.5379
KRT1,0.10,0.6331
UPF1,0.52,0.0342
KRT5,,
NSMAF,-0.16,0.2407
HARS,-0.07,0.6067
VPS45,-0.37,0.0648
SRPRB,-0.11,0.4371
SIK3,0.05,0.8102
TALDO1,0.18,0.1730
BMP2K,0.24,0.3233
MTG1,0.04,0.7772
CAST,0.22,0.1796
DUS3L,0.25,0.2380
NMNAT3,0.37,0.0186
NMNAT1,0.10,0.7106
NDUFA6,-0.14,0.4834
EPB41L3,-0.02,0.9325
NDUFA5,-0.41,0.0378
ACSS2,0.02,0.9118
ACSS1,0.30,0.0694
COMT,0.09,0.4439
NDUFA8,0.05,0.6305
UAP1L1,0.12,0.6080
VPS4A,0.22,0.0624
URB2,0.37,0.0142
QARS,0.25,0.0245
WAS,-0.10,0.6559
TARDBP,-0.32,0.0312
IL18,-0.07,0.7054
