EnsemblID,GeneSym,baseMean,log2FoldChange,lfcSE,WaldStat,pvalue,padj
ENSG00000002933.3,TMEM176A,0.110917653,-0.187809669,0.220942159,-0.850039979,0.395302859,NA
ENSG00000003056.3,M6PR,3106.63168,0.44176266,0.21765039,2.029689266,0.042388135,0.180795545
ENSG00000003096.9,KLHL13,205.7653809,0.646118429,0.32308738,1.999825646,0.045519094,0.18834106
ENSG00000003137.4,CYP26B1,114.6366932,0.511216264,0.429929375,1.18907033,0.234411993,NA
ENSG00000003147.13,ICA1,1218.537432,-0.148527705,0.170313135,-0.872086024,0.38316145,0.635437425
ENSG00000003249.9,DBNDD1,67.80332178,0.217280818,0.429965389,0.505344903,0.61331661,NA
ENSG00000003393.10,ALS2,2441.758135,0.482163236,0.218664979,2.205031815,0.027451862,0.137669145
ENSG00000003400.10,CASP10,2268.498085,-0.218513432,0.174188412,-1.254465946,0.209672696,0.465301593
ENSG00000003402.15,CFLAR,5933.269685,-0.097564143,0.160854619,-0.606536162,0.544158777,0.763589163
ENSG00000003436.10,TFPI,4217.12902,-0.608597192,0.198152437,-3.0713586,0.002130871,0.026146539
ENSG00000003509.11,NDUFAF7,419.6784345,-0.181641638,0.307104222,-0.591465778,0.554208378,0.770517668
ENSG00000003756.12,RBM5,8222.802776,0.109960119,0.142403933,0.772170517,0.440013441,0.682729408
ENSG00000003987.9,MTMR7,8.480094851,0.047144524,0.301394421,0.156421357,0.875700904,NA
ENSG00000003989.12,SLC7A2,16.74839619,0.523424631,0.325601208,1.60756354,0.107930803,NA
ENSG00000004059.6,ARF5,835.8542487,-0.43114754,0.210684037,-2.046417686,0.040715293,0.176543074
ENSG00000004139.9,SARM1,1940.01729,0.090411604,0.169994915,0.531848874,0.59483067,0.796200697
ENSG00000004142.7,POLDIP2,1644.361676,-0.311556306,0.203423097,-1.531567999,0.125629074,0.343618149
ENSG00000004399.8,PLXND1,7835.35056,-0.139967607,0.11387463,-1.229137757,0.219020161,0.476734732
ENSG00000004455.12,AK2,2640.214817,-0.007802309,0.213898667,-0.036476659,0.97090229,0.987514402
ENSG00000004468.8,CD38,586.7765434,-0.346617344,0.330174779,-1.04979958,0.293810269,0.554995936
ENSG00000004478.5,FKBP4,4354.999984,0.145844821,0.215952257,0.67535678,0.499449118,0.729319799
ENSG00000004487.11,KDM1A,4870.463467,-0.330305029,0.150403882,-2.196120366,0.028083329,0.139881159
ENSG00000004534.10,RBM6,4097.235398,0.162586314,0.167663087,0.969720391,0.332185883,0.591643191
ENSG00000004660.10,CAMKK1,360.0645095,0.068199977,0.305113543,0.22352327,0.823128274,0.924240411
ENSG00000004700.11,RECQL,705.4486643,0.783550983,0.280849722,2.789929704,0.005271949,0.047487936
ENSG00000004766.11,CCDC132,554.7436367,0.457824689,0.26467755,1.729745077,0.083675831,0.269234282
ENSG00000004776.7,HSPB6,1.100448873,0.267512695,0.248999653,1.074349669,NA,NA
ENSG00000004777.14,ARHGAP33,823.6729459,-0.115601226,0.233696719,-0.494663452,0.620837704,0.811243576
ENSG00000004779.5,NDUFAB1,221.9917267,-0.013497048,0.400634058,-0.033689219,0.973124976,0.987852741
ENSG00000004799.7,PDK4,146.4574351,0.530369784,0.429723977,1.234210359,0.217124528,0.474509374
ENSG00000004809.9,SLC22A16,388.3000198,0.645869297,0.346135831,1.865941745,0.062049516,0.226801015
ENSG00000004838.9,ZMYND10,22.31419946,0.344893429,0.311421236,1.107482052,0.268085568,NA
ENSG00000004846.12,ABCB5,2.34569365,0.275466749,0.251673715,1.094539208,NA,NA
ENSG00000004848.6,ARX,0,NA,NA,NA,NA,NA
ENSG00000004864.9,SLC25A13,575.8785754,-0.587090144,0.259345489,-2.263737636,0.023590256,0.125471094
ENSG00000004866.14,ST7,1367.750889,-0.060985406,0.157110269,-0.388169447,0.697890642,0.858307648
ENSG00000004897.7,CDC27,1675.184992,0.158139658,0.206320867,0.766474379,0.443394091,0.685474859
ENSG00000004939.9,SLC4A1,2.972536125,-0.276896536,0.252134223,-1.09821084,NA,NA
ENSG00000004948.9,CALCR,0,NA,NA,NA,NA,NA
ENSG00000004961.10,HCCS,284.1871811,-0.382413257,0.303292446,-1.260873001,0.207354607,0.462076475
ENSG00000004975.7,DVL2,1176.828507,-0.251872921,0.229861326,-1.095760326,0.273183675,0.5348818
ENSG00000005001.5,PRSS22,0,NA,NA,NA,NA,NA
ENSG00000005007.8,UPF1,4524.613419,0.414829701,0.176648862,2.348329321,0.01885784,0.108504115
ENSG00000005020.8,SKAP2,1726.673585,0.492500633,0.221430904,2.224172978,0.026136808,0.133581819
ENSG00000005022.5,SLC25A5,2322.917944,-0.306560217,0.20015608,-1.531605821,0.125619735,0.343618149
ENSG00000005059.11,CCDC109B,424.4268763,-0.77114191,0.246002904,-3.134686205,0.00172038,0.02303311
ENSG00000005073.5,HOXA11,5.879656785,0.280041537,0.253171602,1.106133291,0.268668831,NA
