gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
MZF1,35.3049127173592,0.72697475521935,0.268629780913263,0.000433658655354481,0.0325385710030683
ACHE,17.7925882497505,2.00321748687215,1.08522254579244,0.000443115672186149,0.0326771197969141
EIF5,475.003570659843,0.474184501829801,0.173600138589337,0.000444044485045174,0.0326771197969141
PARVB,98.5320657356998,0.574254910959775,0.213539844911363,0.000442627774360696,0.0326771197969141
FAAP20,117.265185960699,0.884144609852543,0.37742381253792,0.000460185462082822,0.0328132242528621
NBPF14,174.072506602861,0.642799385441206,0.246098240493916,0.000455054183310282,0.0328132242528621
CCNE2,261.568463215095,-0.0800289039911186,0.196115007535124,0.000456363444918799,0.0328132242528621
CYP2E1,7.66523750078903,-0.0780346592317802,0.194817967865272,0.000457437572370586,0.0328132242528621
DDX52,105.31720464777,-0.552683530139577,0.208038324221881,0.000459336753604626,0.0328132242528621
MAGIX,12.4757453642067,0.120338725598336,0.233087165797964,0.00046401728182052,0.032882212316664
DIP2A,96.0497150581137,0.629798326179016,0.246843676663848,0.00047581311305775,0.0335112548337605
CNTNAP2,22.7250645716358,-2.02169217110903,0.965847417595264,0.000480096342791004,0.0336067439953703
TM9SF2,165.841539487508,-0.493212034908496,0.178621369401803,0.000491182137120696,0.034174369297852
NDUFB4,328.356187106199,-0.408538815038548,0.145858465747896,0.000501868029082867,0.0347074998425983
RIN1,13.2198093033105,0.0895270824803188,0.203049516267609,0.000507930729645052,0.0347085998590786
PAK1,87.420268329247,-0.719914401683713,0.297400636972895,0.000507226407974508,0.0347085998590786
HSPB1,779.585636091674,0.506650422693696,0.194450395664242,0.000520827264453438,0.0351711587995616
PRKG1,192.266426920184,1.56842669955405,0.86258536298818,0.000518793221389737,0.0351711587995616
MKI67,35.4094466388262,0.132084761677663,0.247057137629156,0.000533828221544261,0.0358382923001644
C12orf60,13.6605730139305,-0.0887511070525846,0.202346377855028,0.000546376053435799,0.0362566305979363
CAPNS1,188.027095815525,0.695849742552529,0.294785393330835,0.000543544669989483,0.0362566305979363
FAM107B,23.6084318554773,-1.25524934381928,0.522614588299316,0.000570378848223745,0.0376318918253368
MECOM,296.474711647174,0.509337471381732,0.195055707776882,0.0005859760165021,0.0377343066062146
LAT,8.00620192518534,-0.112089826527626,0.225040779847232,0.000586425704691088,0.0377343066062146
ZNF207,446.528201429501,-0.376412973622045,0.134198195940758,0.000585635214782839,0.0377343066062146
NDUFV2,153.444152732516,1.02828390811517,0.633234176554654,0.00058836593053244,0.0377343066062146
MAFF,131.375438565183,1.21033470559099,0.50102015780644,0.000581129063859627,0.0377343066062146
P2RY1,20.1327984488472,1.11933678899679,0.661472972745208,0.00060135557306632,0.0381412264022175
CCNL1,573.705848294308,0.484095976012015,0.184835585521444,0.000598430552781055,0.0381412264022175
ERG,476.858298658272,0.417582058393483,0.153007240969854,0.000616138291416574,0.03886410761243
TRAPPC11,79.7855699195081,-0.614922246033183,0.24199202942346,0.000625809003398159,0.0390450399946242
TMEM161B,60.4584496548641,-0.60543955307975,0.244683645015613,0.00062364500492146,0.0390450399946242
TNFAIP3,141.031900696009,0.951377129869858,0.408002412591793,0.000629715119800238,0.0390763760827391
MTHFD2L,173.017760791162,-0.612521919810269,0.240611889639831,0.000633729781297539,0.0391140746736331
NR4A2,265.151002123356,1.17405632874599,0.483426655820895,0.000659046477668548,0.0404591099659622
IL1RAP,23.1605298111149,-1.38532887888516,0.738831606295203,0.000670214503858112,0.040589576577667
DNMBP,17.6213992768661,0.160227527874792,0.294759534196546,0.000671778706424802,0.040589576577667
RAD51,13.9577346641783,-0.106638717804208,0.220067655769711,0.00066631122993817,0.040589576577667
CIT,32.7006461474925,-0.0861854545314815,0.201658212604947,0.000676851725885774,0.0406819780794172
TNFSF10,142.151461365938,0.696763499900488,0.283384763485265,0.000691061207364357,0.0409352698819067
TMEM129,27.5642353133131,0.879740087180987,0.69009315877077,0.00069283488218362,0.0409352698819067
GADD45G,4.87322186137526,0.130271825892721,0.250821923770149,0.000695329061582909,0.0409352698819067
SLFN12,22.5108339806363,-0.130948640720357,0.248685860262236,0.000690720701448737,0.0409352698819067
APOBEC3F,29.6569486575114,-1.06941731229216,0.506551530898394,0.00070383861533416,0.041224833183858
FAM111B,12.4690664512917,-1.50994504012028,0.826623149086365,0.000716981668088137,0.0417814697951869
S1PR1,4.4610263215283,-2.03020742138106,1.02755541864627,0.000723689481972262,0.0419427817815282
ASAH2B,5.89279848761692,1.89741918495825,1.83140642478406,0.000727056931578756,0.0419427817815282
